#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,False
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,False
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,False
4,Charmander,Fire,,309,39,52,43,60,50,65,False
5,Charmeleon,Fire,,405,58,64,58,80,65,80,False
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,False
7,Squirtle,Water,,314,44,48,65,50,64,43,False
8,Wartortle,Water,,405,59,63,80,65,80,58,False
9,Blastoise,Water,,530,79,83,100,85,105,78,False
10,Caterpie,Bug,,195,45,30,35,20,20,45,False
11,Metapod,Bug,,205,50,20,55,25,25,30,False
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,False
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,False
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,False
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,False
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,False
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,False
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,False
19,Rattata,Normal,,253,30,56,35,25,35,72,False
20,Raticate,Normal,,413,55,81,60,50,70,97,False
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,False
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,False
23,Ekans,Poison,,288,35,60,44,40,54,55,False
24,Arbok,Poison,,438,60,85,69,65,79,80,False
25,Pikachu,Electric,,320,35,55,40,50,50,90,False
26,Raichu,Electric,,485,60,90,55,90,80,110,False
27,Sandshrew,Ground,,300,50,75,85,20,30,40,False
28,Sandslash,Ground,,450,75,100,110,45,55,65,False
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,False
30,Nidorina,Poison,,365,70,62,67,55,55,56,False
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,False
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,False
33,Nidorino,Poison,,365,61,72,57,55,55,65,False
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,False
35,Clefairy,Fairy,,323,70,45,48,60,65,35,False
36,Clefable,Fairy,,483,95,70,73,95,90,60,False
37,Vulpix,Fire,,299,38,41,40,50,65,65,False
38,Ninetales,Fire,,505,73,76,75,81,100,100,False
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,False
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,False
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,False
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,False
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,False
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,False
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,False
46,Paras,Bug,Grass,285,35,70,55,45,55,25,False
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,False
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,False
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,False
50,Diglett,Ground,,265,10,55,25,35,45,95,False
51,Dugtrio,Ground,,405,35,80,50,50,70,120,False
52,Meowth,Normal,,290,40,45,35,40,40,90,False
53,Persian,Normal,,440,65,70,60,65,65,115,False
54,Psyduck,Water,,320,50,52,48,65,50,55,False
55,Golduck,Water,,500,80,82,78,95,80,85,False
56,Mankey,Fighting,,305,40,80,35,35,45,70,False
57,Primeape,Fighting,,455,65,105,60,60,70,95,False
58,Growlithe,Fire,,350,55,70,45,70,50,60,False
59,Arcanine,Fire,,555,90,110,80,100,80,95,False
60,Poliwag,Water,,300,40,50,40,40,40,90,False
61,Poliwhirl,Water,,385,65,65,65,50,50,90,False
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,False
63,Abra,Psychic,,310,25,20,15,105,55,90,False
64,Kadabra,Psychic,,400,40,35,30,120,70,105,False
65,Alakazam,Psychic,,500,55,50,45,135,95,120,False
66,Machop,Fighting,,305,70,80,50,35,35,35,False
67,Machoke,Fighting,,405,80,100,70,50,60,45,False
68,Machamp,Fighting,,505,90,130,80,65,85,55,False
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,False
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,False
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,False
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,False
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,False
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,False
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,False
76,Golem,Rock,Ground,495,80,120,130,55,65,45,False
77,Ponyta,Fire,,410,50,85,55,65,65,90,False
78,Rapidash,Fire,,500,65,100,70,80,80,105,False
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,False
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,False
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,False
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,False
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,False
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,False
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,False
86,Seel,Water,,325,65,45,55,45,70,45,False
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,False
88,Grimer,Poison,,325,80,80,50,40,50,25,False
89,Muk,Poison,,500,105,105,75,65,100,50,False
90,Shellder,Water,,305,30,65,100,45,25,40,False
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,False
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,False
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,False
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,False
95,Onix,Rock,Ground,385,35,45,160,30,45,70,False
96,Drowzee,Psychic,,328,60,48,45,43,90,42,False
97,Hypno,Psychic,,483,85,73,70,73,115,67,False
98,Krabby,Water,,325,30,105,90,25,25,50,False
99,Kingler,Water,,475,55,130,115,50,50,75,False
100,Voltorb,Electric,,330,40,30,50,55,55,100,False
101,Electrode,Electric,,480,60,50,70,80,80,140,False
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,False
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,False
104,Cubone,Ground,,320,50,50,95,40,50,35,False
105,Marowak,Ground,,425,60,80,110,50,80,45,False
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,False
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,False
108,Lickitung,Normal,,385,90,55,75,60,75,30,False
109,Koffing,Poison,,340,40,65,95,60,45,35,False
110,Weezing,Poison,,490,65,90,120,85,70,60,False
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,False
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,False
113,Chansey,Normal,,450,250,5,5,35,105,50,False
114,Tangela,Grass,,435,65,55,115,100,40,60,False
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,False
116,Horsea,Water,,295,30,40,70,70,25,60,False
117,Seadra,Water,,440,55,65,95,95,45,85,False
118,Goldeen,Water,,320,45,67,60,35,50,63,False
119,Seaking,Water,,450,80,92,65,65,80,68,False
120,Staryu,Water,,340,30,45,55,70,55,85,False
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,False
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,False
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,False
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,False
125,Electabuzz,Electric,,490,65,83,57,95,85,105,False
126,Magmar,Fire,,495,65,95,57,100,85,93,False
127,Pinsir,Bug,,500,65,125,100,55,70,85,False
128,Tauros,Normal,,490,75,100,95,40,70,110,False
129,Magikarp,Water,,200,20,10,55,15,20,80,False
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,False
131,Lapras,Water,Ice,535,130,85,80,85,95,60,False
132,Ditto,Normal,,288,48,48,48,48,48,48,False
133,Eevee,Normal,,325,55,55,50,45,65,55,False
134,Vaporeon,Water,,525,130,65,60,110,95,65,False
135,Jolteon,Electric,,525,65,65,60,110,95,130,False
136,Flareon,Fire,,525,65,130,60,95,110,65,False
137,Porygon,Normal,,395,65,60,70,85,75,40,False
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,False
139,Omastar,Rock,Water,495,70,60,125,115,70,55,False
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,False
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,False
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,False
143,Snorlax,Normal,,540,160,110,65,65,110,30,False
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,True
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,True
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,True
147,Dratini,Dragon,,300,41,64,45,50,50,50,False
148,Dragonair,Dragon,,420,61,84,65,70,70,70,False
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,False
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,True
151,Mew,Psychic,,600,100,100,100,100,100,100,True
152,Chikorita,Grass,,318,45,49,65,49,65,45,False
153,Bayleef,Grass,,405,60,62,80,63,80,60,False
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,False
156,Quilava,Fire,,405,58,64,58,80,65,80,False
157,Typhlosion,Fire,,534,78,84,78,109,85,100,False
158,Totodile,Water,,314,50,65,64,44,48,43,False
159,Croconaw,Water,,405,65,80,80,59,63,58,False
160,Feraligatr,Water,,530,85,105,100,79,83,78,False
161,Sentret,Normal,,215,35,46,34,35,45,20,False
162,Furret,Normal,,415,85,76,64,45,55,90,False
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,False
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,False
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,False
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,False
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,False
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,False
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,False
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,False
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,False
172,Pichu,Electric,,205,20,40,15,35,35,60,False
173,Cleffa,Fairy,,218,50,25,28,45,55,15,False
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,False
175,Togepi,Fairy,,245,35,20,65,40,65,20,False
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,False
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,False
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,False
179,Mareep,Electric,,280,55,40,40,65,45,35,False
180,Flaaffy,Electric,,365,70,55,55,80,60,45,False
181,Ampharos,Electric,,510,90,75,85,115,90,55,False
182,Bellossom,Grass,,490,75,80,95,90,100,50,False
183,Marill,Water,Fairy,250,70,20,50,20,50,40,False
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,False
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,False
186,Politoed,Water,,500,90,75,75,90,100,70,False
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,False
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,False
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,False
190,Aipom,Normal,,360,55,70,55,40,55,85,False
191,Sunkern,Grass,,180,30,30,30,30,30,30,False
192,Sunflora,Grass,,425,75,75,55,105,85,30,False
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,False
194,Wooper,Water,Ground,210,55,45,45,25,25,15,False
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,False
196,Espeon,Psychic,,525,65,65,60,130,95,110,False
197,Umbreon,Dark,,525,95,65,110,60,130,65,False
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,False
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,False
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,False
201,Unown,Psychic,,336,48,72,48,72,48,48,False
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,False
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,False
204,Pineco,Bug,,290,50,65,90,35,35,15,False
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,False
206,Dunsparce,Normal,,415,100,70,70,65,65,45,False
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,False
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,False
209,Snubbull,Fairy,,300,60,80,50,40,40,30,False
210,Granbull,Fairy,,450,90,120,75,60,60,45,False
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,False
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,False
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,False
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,False
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,False
216,Teddiursa,Normal,,330,60,80,50,50,50,40,False
217,Ursaring,Normal,,500,90,130,75,75,75,55,False
218,Slugma,Fire,,250,40,40,40,70,40,20,False
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,False
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,False
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,False
222,Corsola,Water,Rock,380,55,55,85,65,85,35,False
223,Remoraid,Water,,300,35,65,35,65,35,65,False
224,Octillery,Water,,480,75,105,75,105,75,45,False
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,False
226,Mantine,Water,Flying,465,65,40,70,80,140,70,False
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,False
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,False
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,False
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,False
231,Phanpy,Ground,,330,90,60,60,40,40,40,False
232,Donphan,Ground,,500,90,120,120,60,60,50,False
233,Porygon2,Normal,,515,85,80,90,105,95,60,False
234,Stantler,Normal,,465,73,95,62,85,65,85,False
235,Smeargle,Normal,,250,55,20,35,20,45,75,False
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,False
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,False
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,False
239,Elekid,Electric,,360,45,63,37,65,55,95,False
240,Magby,Fire,,365,45,75,37,70,55,83,False
241,Miltank,Normal,,490,95,80,105,40,70,100,False
242,Blissey,Normal,,540,255,10,10,75,135,55,False
243,Raikou,Electric,,580,90,85,75,115,100,115,True
244,Entei,Fire,,580,115,115,85,90,75,100,True
245,Suicune,Water,,580,100,75,115,90,115,85,True
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,False
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,False
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,False
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,True
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,True
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,False
252,Treecko,Grass,,310,40,45,35,65,55,70,False
253,Grovyle,Grass,,405,50,65,45,85,65,95,False
254,Sceptile,Grass,,530,70,85,65,105,85,120,False
255,Torchic,Fire,,310,45,60,40,70,50,45,False
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,False
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,False
258,Mudkip,Water,,310,50,70,50,50,50,40,False
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,False
260,Swampert,Water,Ground,535,100,110,90,85,90,60,False
261,Poochyena,Dark,,220,35,55,35,30,30,35,False
262,Mightyena,Dark,,420,70,90,70,60,60,70,False
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,False
264,Linoone,Normal,,420,78,70,61,50,61,100,False
265,Wurmple,Bug,,195,45,45,35,20,30,20,False
266,Silcoon,Bug,,205,50,35,55,25,25,15,False
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,False
268,Cascoon,Bug,,205,50,35,55,25,25,15,False
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,False
270,Lotad,Water,Grass,220,40,30,30,40,50,30,False
271,Lombre,Water,Grass,340,60,50,50,60,70,50,False
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,False
273,Seedot,Grass,,220,40,40,50,30,30,30,False
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,False
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,False
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,False
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,False
278,Wingull,Water,Flying,270,40,30,30,55,30,85,False
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,False
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,False
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,False
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,False
283,Surskit,Bug,Water,269,40,30,32,50,52,65,False
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,False
285,Shroomish,Grass,,295,60,40,60,40,60,35,False
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,False
287,Slakoth,Normal,,280,60,60,60,35,35,30,False
288,Vigoroth,Normal,,440,80,80,80,55,55,90,False
289,Slaking,Normal,,670,150,160,100,95,65,100,False
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,False
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,False
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,False
293,Whismur,Normal,,240,64,51,23,51,23,28,False
294,Loudred,Normal,,360,84,71,43,71,43,48,False
295,Exploud,Normal,,490,104,91,63,91,73,68,False
296,Makuhita,Fighting,,237,72,60,30,20,30,25,False
297,Hariyama,Fighting,,474,144,120,60,40,60,50,False
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,False
299,Nosepass,Rock,,375,30,45,135,45,90,30,False
300,Skitty,Normal,,260,50,45,45,35,35,50,False
301,Delcatty,Normal,,380,70,65,65,55,55,70,False
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,False
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,False
304,Aron,Steel,Rock,330,50,70,100,40,40,30,False
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,False
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,False
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,False
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,False
309,Electrike,Electric,,295,40,45,40,65,40,65,False
310,Manectric,Electric,,475,70,75,60,105,60,105,False
311,Plusle,Electric,,405,60,50,40,85,75,95,False
312,Minun,Electric,,405,60,40,50,75,85,95,False
313,Volbeat,Bug,,400,65,73,55,47,75,85,False
314,Illumise,Bug,,400,65,47,55,73,75,85,False
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,False
316,Gulpin,Poison,,302,70,43,53,43,53,40,False
317,Swalot,Poison,,467,100,73,83,73,83,55,False
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,False
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,False
320,Wailmer,Water,,400,130,70,35,70,35,60,False
321,Wailord,Water,,500,170,90,45,90,45,60,False
322,Numel,Fire,Ground,305,60,60,40,65,45,35,False
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,False
324,Torkoal,Fire,,470,70,85,140,85,70,20,False
325,Spoink,Psychic,,330,60,25,35,70,80,60,False
326,Grumpig,Psychic,,470,80,45,65,90,110,80,False
327,Spinda,Normal,,360,60,60,60,60,60,60,False
328,Trapinch,Ground,,290,45,100,45,45,45,10,False
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,False
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,False
331,Cacnea,Grass,,335,50,85,40,85,40,35,False
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,False
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,False
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,False
335,Zangoose,Normal,,458,73,115,60,60,60,90,False
336,Seviper,Poison,,458,73,100,60,100,60,65,False
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,False
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,False
339,Barboach,Water,Ground,288,50,48,43,46,41,60,False
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,False
341,Corphish,Water,,308,43,80,65,50,35,35,False
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,False
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,False
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,False
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,False
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,False
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,False
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,False
349,Feebas,Water,,200,20,15,20,10,55,80,False
350,Milotic,Water,,540,95,60,79,100,125,81,False
351,Castform,Normal,,420,70,70,70,70,70,70,False
352,Kecleon,Normal,,440,60,90,70,60,120,40,False
353,Shuppet,Ghost,,295,44,75,35,63,33,45,False
354,Banette,Ghost,,455,64,115,65,83,63,65,False
355,Duskull,Ghost,,295,20,40,90,30,90,25,False
356,Dusclops,Ghost,,455,40,70,130,60,130,25,False
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,False
358,Chimecho,Psychic,,425,65,50,70,95,80,65,False
359,Absol,Dark,,465,65,130,60,75,60,75,False
360,Wynaut,Psychic,,260,95,23,48,23,48,23,False
361,Snorunt,Ice,,300,50,50,50,50,50,50,False
362,Glalie,Ice,,480,80,80,80,80,80,80,False
363,Spheal,Ice,Water,290,70,40,50,55,50,25,False
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,False
365,Walrein,Ice,Water,530,110,80,90,95,90,65,False
366,Clamperl,Water,,345,35,64,85,74,55,32,False
367,Huntail,Water,,485,55,104,105,94,75,52,False
368,Gorebyss,Water,,485,55,84,105,114,75,52,False
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,False
370,Luvdisc,Water,,330,43,30,55,40,65,97,False
371,Bagon,Dragon,,300,45,75,60,40,30,50,False
372,Shelgon,Dragon,,420,65,95,100,60,50,50,False
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,False
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,False
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,False
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,False
377,Regirock,Rock,,580,80,100,200,50,100,50,True
378,Regice,Ice,,580,80,50,100,100,200,50,True
379,Registeel,Steel,,580,80,75,150,75,150,50,True
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,True
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,True
382,Kyogre,Water,,670,100,100,90,150,140,90,True
383,Groudon,Ground,,670,100,150,140,100,90,90,True
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,True
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,True
386,DeoxysNormal Forme,Psychic,,600,50,150,50,150,50,150,True
386,DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150,True
386,DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90,True
386,DeoxysSpeed Forme,Psychic,,600,50,95,90,95,90,180,True
